Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,CPI_All_Items_3_mo_annualised,IPI_3_mo_annualised,Non-farm_Payrolls_3_month_pchg,Non-farm_Payrolls_12_month_pchg,Civilian_Unemployment_Rate_12_month_pchg,CPI_All_Items_3_month_pchg,CPI_All_Items_12_month_pchg,IPI_3_month_pchg,IPI_12_month_pchg,Effective_Fed_Funds_12_chg,10Y_Treasury_Rate_12_chg,S&P_500_Index_12_chg,3M_10Y_Treasury_Spread,Payrolls_3mo_vs_12mo,IPI_3mo_vs_12mo,CPI_3mo_vs_12mo,Recession,Recession_in_6mo,Recession_in_12mo,Recession_in_24mo
2020-04-01,131045.0,14.7,0.05,255.902,0.66,0.39,0.14,92.5919,2912.429932,0.5493969586373203,0.955659956902366,0.5181511494531393,-0.13906262318345464,-0.1292228158307418,3.083333333333333,-0.011274244648790566,0.0037616251475820475,-0.15157371187818258,-0.1504457338735724,0.02066115702479339,0.2608695652173913,0.9886618898186156,0.52,0.6786197744680621,-0.001127978004610175,0.951898331754784,0,0,0,0
2020-03-01,151582.0,4.4,0.65,257.953,0.87,0.59,0.29,104.3262,2584.590088,0.989097348597434,0.9924223035457964,0.8199088611013666,-0.002736878116817332,0.008650403907320971,0.1578947368421053,-0.00189983129807636,0.015183297585548594,-0.048428568431633116,-0.04882244981131667,0.2697095435684647,0.3385214007782101,0.9118650075369641,0.5800000000000001,0.9804469446901131,0.00039388137968355413,0.9772390059602478,0,0,0,0
2020-02-01,152463.0,3.5,1.58,259.05,1.5,1.32,1.52,109.2569,2954.219971,1.017209837163345,1.0191568284465509,0.9718788094005604,0.004274968053012307,0.015506044559896015,-0.07894736842105254,0.004755181829465105,0.02318104439116686,-0.0071056754526585,-0.002794736549075361,0.6583333333333334,0.5597014925373134,1.0609555005080122,-0.020000000000000014,1.0017037926034489,-0.004310938903583139,0.995975784055384,0,0,0,0
2020-01-01,152212.0,3.6,1.55,258.82,1.76,1.56,1.52,109.1337,3225.52002,1.0175070313880883,1.0249710852273783,1.0039203770155236,0.004348313791215031,0.013840968734597059,-0.09999999999999998,0.0061851501969061315,0.024826766976836282,0.0009786566630285432,-0.00894309312240893,0.6458333333333334,0.6494464944649446,1.1928256732750577,0.24,1.0036660626534912,0.009921749785437473,1.000144318250542,0,0,0,0
2019-12-01,151998.0,3.5,1.55,258.444,1.86,1.68,1.54,109.6357,3230.780029,1.0167523929614173,1.029168769184119,1.0059764893317666,0.0041620421753607575,0.014232809528575753,-0.10256410256410252,0.007213758754135879,0.022920764843481045,0.0014907853570531593,-0.008284819034731217,0.6828193832599119,0.657243816254417,1.2887807019564361,0.3200000000000001,1.0025195834328415,0.009775604391784376,1.0062480043406379,0,0,0,0
2019-11-01,151814.0,3.5,1.55,257.824,1.81,1.64,1.54,110.0388,3140.97998,1.0174188037197154,1.0240935032952696,1.0067349324156412,0.004326541413072205,0.014236753672761669,-0.054054054054054064,0.005969706665001739,0.020430456499196614,0.0016794972977844935,-0.00423413241007109,0.7045454545454545,0.5801282051282052,1.1379661646787556,0.27,1.0031820500469537,0.005913629707855583,1.003663046796073,0,0,0,0
2019-10-01,151553.0,3.6,1.83,257.22900000000004,1.71,1.53,1.65,109.027,3037.560059,1.0159940315458216,1.017957361763978,0.9978675956196804,0.003974747106715304,0.013400290205885623,-0.05263157894736836,0.004459421993307178,0.017612361884190575,-0.0005335279212945743,-0.008092506584543746,0.8356164383561644,0.5428571428571428,1.1201516628443422,0.06000000000000005,1.002593741339936,0.007558978663249172,1.0003449998797875,0,0,0,0
2019-09-01,151368.0,3.5,2.04,256.593,1.7,1.57,1.89,109.4725,2976.73999,1.0162564115078168,1.0187838278779515,1.007160606277605,0.0040395598272739966,0.013525457321156065,-0.054054054054054064,0.004663236779665071,0.017172690189922513,0.0017853645859069454,-0.0018454541558733386,1.0461538461538462,0.5666666666666667,1.0215375570287892,-0.18999999999999995,1.0027309541866607,0.003630818741780284,1.001611137688029,0,0,0,0
2019-08-01,151160.0,3.7,2.13,256.29400000000004,1.63,1.49,1.95,109.8543,2926.459961,1.0155772691366889,1.017784250570761,1.0231934809998988,0.0038717732455819664,0.012675188252003087,-0.02631578947368407,0.004416715327609122,0.017423234949683675,0.005748610226099071,0.0030102826214384315,1.1151832460732984,0.5640138408304498,1.0085954743817347,-0.3200000000000001,1.0029020808846858,0.0027383276046606397,1.0003610156210774,0,0,0,0
2019-07-01,150953.0,3.7,2.4,256.087,2.06,1.83,2.1,109.0852,2980.3798829999996,1.0123095604100665,1.0180702859746538,1.003542674966448,0.0030632857560535247,0.012944223749194794,-0.02631578947368407,0.004487277548314683,0.01831144972602416,0.0008844945535688709,0.003987041195744112,1.256544502617801,0.71280276816609,1.058264540131763,-0.040000000000000036,0.9993653366608717,-0.0031025466421752412,0.9997588362486296,0,0,0,0
