Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,CPI_All_Items_3_mo_annualised,IPI_3_mo_annualised,Non-farm_Payrolls_3_month_pchg,Non-farm_Payrolls_12_month_pchg,Civilian_Unemployment_Rate_12_month_pchg,CPI_All_Items_3_month_pchg,CPI_All_Items_12_month_pchg,IPI_3_month_pchg,IPI_12_month_pchg,Effective_Fed_Funds_12_chg,10Y_Treasury_Rate_12_chg,S&P_500_Index_12_chg,3M_10Y_Treasury_Spread
1967-11-01,66703.0,3.9,4.13,33.9,5.75,5.78,4.73,36.9884,94.0,1.0342985404595777,1.0486234480751713,1.0862657922381274,0.008466504391999141,0.025900121502945295,0.08333333333333326,0.011940298507462588,0.0310218978102188,0.020901932317815453,0.028229583936796754,0.717013888888889,1.1143410852713178,1.168427638350316,1.0199999999999996
1967-10-01,66225.0,4.0,3.88,33.7,5.48,5.57,4.56,36.4669,93.300003,1.0206164599646415,1.0364151106115869,1.1072277561566046,0.005114740165128806,0.021139790914978196,0.08108108108108092,0.008982035928143839,0.025875190258751957,0.025791842475386906,0.006758305012685817,0.701627486437613,1.093812375249501,1.1633417268082942,0.9200000000000008
1967-09-01,66164.0,3.8,3.99,33.6,5.3,5.4,4.42,36.1723,96.709999,1.0254251932810166,1.0365259408488179,1.0621542129396806,0.006296577946768078,0.023529229769657878,0.027027027027026973,0.009009009009009139,0.025954198473282508,0.015188978167948619,0.005543061582468978,0.7388888888888889,1.0231660231660231,1.263192287439715,0.8799999999999999
1967-08-01,66143.0,3.8,3.9,33.5,5.28,5.31,4.27,36.2311,93.639999,1.0322636913462324,1.0492216733189283,1.0685375216327295,0.007970131057604357,0.025361588664795987,0.0,0.012084592145015005,0.026033690658499253,0.01671081727261514,0.01656818347614797,0.7052441229656419,1.0114942528735633,1.2145266073807162,1.0100000000000007
1967-07-01,65888.0,3.8,3.79,33.4,5.16,5.23,4.21,35.55,94.75,1.0260347625245134,1.0367496374011007,0.9563161706563957,0.00644609415574493,0.0246807981213355,0.0,0.009063444108761143,0.029275808936825687,-0.011104558654990937,-0.0017662139280992806,0.7150943396226416,1.0278884462151396,1.133373232855819,0.9500000000000002
1967-06-01,65750.0,3.9,3.98,33.3,5.02,5.01,3.54,35.6311,90.639999,1.0134967417202594,1.0368625162215694,1.0020007524673757,0.00335724095833978,0.02556503564130952,0.026315789473684292,0.009090909090909038,0.028412600370598895,0.0004998132720079873,0.005985471115866892,0.769825918762089,1.0436590436590436,1.069624747926003,1.4799999999999995
1967-05-01,65620.0,3.8,3.94,33.1,4.85,4.75,3.6,35.6356,89.08000200000002,1.0117280091798746,1.0121764199301646,0.9800918527157743,0.002919194852435414,0.029947262682069375,-0.02564102564102566,0.003030303030303161,0.023183925811437467,-0.005014630659608277,0.010855844483716126,0.8040816326530612,1.014644351464435,1.0342506107366987,1.2499999999999996
1967-04-01,65466.0,3.8,4.05,33.1,4.59,4.51,3.84,35.9492,94.010002,1.0036130615330539,1.0245387368211312,0.9697741293885331,0.000902044123717749,0.03198448854769298,0.0,0.006079027355623268,0.025402726146220633,-0.0076436602339198245,0.02945539309175671,0.867237687366167,0.9663157894736841,1.032396266909648,0.75
1967-03-01,65530.0,3.8,4.53,33.0,4.54,4.54,4.26,35.6133,90.199997,1.02046222522942,1.0097560253669349,0.9517846410400659,0.005076764981057913,0.03699835422205333,0.0,0.002430133657351119,0.025481665630826544,-0.012278122919902268,0.021456925530328297,0.9741935483870967,0.9322381930184804,1.010870715761379,0.28000000000000025
1967-02-01,65429.0,3.8,5.0,33.0,4.63,4.74,4.56,35.8152,86.779999,1.0254629831897217,1.01467865378896,0.9825795500124781,0.006305849059505597,0.04192942225619456,0.0,0.0036496350364962904,0.028678304239401653,-0.004383855624650934,0.041306022765267514,1.0869565217391306,0.9585921325051759,0.9513264421034155,0.07000000000000028
1967-01-01,65407.0,3.9,4.94,32.9,4.58,4.7,4.72,36.2261,86.610001,1.0345461072922437,1.0061021943537376,1.0004417924557336,0.008526844913189668,0.046026643637352205,-0.025000000000000022,0.0015220700152205335,0.0319949811794229,0.00011042982046882699,0.06008269710794245,1.1176470588235294,0.9934924078091105,0.9324935809375617,-0.13999999999999968
1966-12-01,65199.0,3.8,5.4,32.92,4.84,5.0,4.96,36.056,80.33000200000002,1.034850766597193,1.02092558786996,1.0092723571606974,0.008601085964450972,0.0461634735727352,-0.050000000000000044,0.005190839694656502,0.033594976452119285,0.002310072304428923,0.0654657423331737,1.25,1.0476190476190477,0.8690901438926757,-0.1200000000000001
1966-11-01,65019.0,3.6,5.76,32.88,5.16,5.36,5.32,35.9729,80.449997,1.032128484008405,1.0284767847042053,1.0378193768751816,0.007937123102919053,0.04876121040067094,-0.12195121951219501,0.007044410413476365,0.03559055118110255,0.009323636526882284,0.07622093510285666,1.404878048780488,1.1595505617977528,0.8781791957408668,-0.16000000000000014
1966-10-01,64854.0,3.7,5.53,32.85,5.01,5.27,5.35,36.2221,80.199997,1.0348470373132332,1.0502258193798448,1.070200476434822,0.008600177291177458,0.05079473095805187,-0.11904761904761907,0.01232665639445285,0.03791469194312813,0.017106160969760698,0.08818210221469158,1.3553921568627452,1.1517241379310346,0.8677775236480744,-0.33999999999999986
1966-09-01,64643.0,3.7,5.4,32.75,5.18,5.5,5.37,35.9729,76.559998,1.0336078737769137,1.0464966432762306,1.0640247140719774,0.00829810796899122,0.051276630346397845,-0.13953488372093015,0.011426806670784329,0.035736875395319334,0.015635631622486157,0.09159626635593443,1.346633416458853,1.2074592074592074,0.8510448960765328,-0.1900000000000004
1966-08-01,64507.0,3.8,5.53,32.65,5.22,5.5,4.96,35.6406,77.099998,1.050854106899053,1.0376134734085847,1.0447217357717904,0.012478026117528795,0.053553929574704284,-0.13636363636363646,0.009273570324574765,0.034865293185419866,0.010997676786874244,0.0842467441202508,1.3422330097087378,1.228235294117647,0.8844786023741794,0.2599999999999998
1966-07-01,64301.0,3.8,5.3,32.45,5.02,5.17,4.8,35.6129,83.599998,1.0556023830356096,1.0212326713741247,1.0816893968144028,0.013619811781767632,0.05471992126630032,-0.13636363636363646,0.005266418835192077,0.02754908169727699,0.01982497437042907,0.0879848714901521,1.2958435207823962,1.195238095238095,0.980645137829912,0.21999999999999975
1966-06-01,64111.0,3.8,5.17,32.38,4.81,4.97,4.5,35.4191,84.739998,1.0594532581137175,1.0250928837126287,1.0650780707688976,0.014542980124066407,0.056368429724831026,-0.17391304347826086,0.006215040397762772,0.024359379943056148,0.01588690155226402,0.09222808472846244,1.2797029702970297,1.1425178147268407,1.0073703635031968,0.3099999999999996
1966-05-01,63712.0,3.9,4.9,32.35,4.78,4.89,4.64,35.2529,86.129997,1.0596367946120986,1.034093245886417,1.103629738721266,0.0145869163640997,0.05324759055066042,-0.15217391304347816,0.008416458852867903,0.02763659466327839,0.024957478666647104,0.09552503185307182,1.1951219512195124,1.1353919239904988,0.9741008702578802,0.14000000000000057
1966-04-01,63437.0,3.8,4.67,32.28,4.75,4.83,4.62,34.9206,91.059998,1.0593625435493081,1.0511407026087904,1.090434153213033,0.01452126213436955,0.05273900994042391,-0.20833333333333337,0.012547051442910906,0.028680688336520044,0.021879910689464488,0.0936679841402075,1.1418092909535453,1.130952380952381,1.0218830319618109,0.1299999999999999
1966-03-01,63192.0,3.8,4.65,32.18,4.87,4.92,4.59,34.8652,89.230003,1.0570191981117285,1.042092840972678,1.1267210940229568,0.01395975738904398,0.053147342632868355,-0.19148936170212771,0.010361067503924515,0.027786649632705274,0.030277240947264472,0.09668997493024833,1.1509900990099011,1.156769596199525,1.0356313702120998,0.28000000000000025
1966-02-01,62796.0,3.8,4.6,32.08,4.83,4.98,4.65,34.3945,91.220001,1.0526239442229677,1.0422274802012996,1.1211402473870635,0.01290405832634356,0.05010033444816053,-0.2549019607843137,0.010393700787401539,0.025575447570332477,0.028999078539545087,0.09620410504844479,1.1557788944723617,1.147268408551069,1.043348976323916,0.17999999999999972
1966-01-01,62529.0,4.0,4.42,31.88,4.61,4.86,4.59,34.1729,92.879997,1.0535384972870352,1.029386322546535,1.110808402913692,0.013123997472415327,0.049461246685240434,-0.1836734693877552,0.0072669826224329714,0.019181585677749302,0.026620161745797066,0.09591400194342259,1.1333333333333333,1.100238663484487,1.0607583271073169,0.020000000000000462
1965-12-01,62322.0,4.0,4.32,31.85,4.62,4.72,4.38,33.8406,92.43,1.055231035589844,1.0294145071387903,1.1119841137553539,0.013530655391120527,0.048821123845105285,-0.19999999999999996,0.007273877292852671,0.019200000000000106,0.026891704901318203,0.09694714390368842,1.1220779220779222,1.105263157894737,1.0906194690265487,0.2400000000000002
1965-11-01,61996.0,4.1,4.1,31.75,4.45,4.46,4.09,33.4252,91.610001,1.05112504546163,1.0255987059209362,1.069125131075549,0.012543280851897931,0.04691141207065419,-0.14583333333333337,0.006339144215530945,0.017302146747837144,0.016850565691043595,0.09627481977579389,1.164772727272727,1.072289156626506,1.0851694286938982,0.3600000000000003
1965-10-01,61719.0,4.2,4.08,31.65,4.35,4.34,4.03,33.2868,92.419998,1.0503963662372438,1.0088958944094188,1.0694248009807334,0.012367751988846098,0.04976782950351222,-0.17647058823529405,0.002216592780240667,0.017030848329048665,0.01692181261055392,0.12547039988639397,1.2142857142857144,1.0381861575178997,1.08908787309583,0.3199999999999994
1965-09-01,61490.0,4.3,4.01,31.62,4.29,4.25,3.92,32.9544,89.959999,1.0537787152226132,1.0012660229464907,1.066490293248308,0.013181743285549441,0.04391966453321561,-0.1568627450980392,0.00031635558367604233,0.01737451737451745,0.016223483808895267,0.09879865160896673,1.16231884057971,1.0214285714285714,1.0686623782371107,0.3700000000000001
1965-08-01,61228.0,4.4,4.12,31.55,4.25,4.2,3.84,32.8713,87.16999799999998,1.049632423850738,1.0089242475078022,1.0888732903231164,0.012183630622737196,0.04450775345877611,-0.11999999999999988,0.0022236340533672294,0.016103059581320522,0.0215140308897106,0.10009203326584215,1.1771428571428573,1.0143198090692123,1.065257190144025,0.41000000000000014
1965-07-01,60965.0,4.4,4.09,31.58,4.2,4.15,3.84,32.7329,85.25,1.0476944214717847,1.0257387104014772,1.104468011230646,0.011716092201994766,0.04370677258097655,-0.10204081632653061,0.006373486297004405,0.01805286911669879,0.025152052314765472,0.10261160721804718,1.195906432748538,1.0023866348448687,1.0248857898533301,0.3600000000000003
1965-06-01,60690.0,4.6,4.04,31.61,4.21,4.15,3.8,32.4283,84.120003,1.046590267237238,1.0388807830860238,1.0825889231209407,0.011449427528623657,0.042443188649753605,-0.11538461538461553,0.0095816033216225,0.019348597226700903,0.020036928342030746,0.09953276731948146,1.1542857142857144,1.0095923261390887,1.0297466145245044,0.41000000000000014
1965-05-01,60491.0,4.6,4.1,31.48,4.21,4.15,3.89,32.179,88.41999799999998,1.0470280587682166,1.025821783622926,1.1063686719898398,0.011555183946488246,0.041350341717020456,-0.0980392156862745,0.006393861892583175,0.0161394448030987,0.025592809790923043,0.09415908982720045,1.1714285714285713,1.0023809523809524,1.1001616859464343,0.31999999999999984
1965-04-01,60259.0,4.8,4.09,31.38,4.2,4.15,3.93,31.9298,89.110001,1.0462304900038952,1.0128491767897108,1.0994192909739238,0.011362492027793714,0.040347363696005,-0.09433962264150941,0.0031969309462915874,0.013893376413570246,0.023978500485855703,0.09185599584182524,1.1786743515850142,0.9929078014184397,1.1214447787747897,0.27
1965-03-01,60003.0,4.7,4.04,31.31,4.21,4.15,3.93,31.7913,86.160004,1.039757431405466,1.0077021467251412,1.1277783103740662,0.009794517089917631,0.036374941706824204,-0.12962962962962965,0.0019199999999999218,0.011958629605688387,0.03051883642681652,0.1049081076572318,1.1778425655976676,0.9976303317535545,1.0909091001174058,0.2799999999999998
1965-02-01,59800.0,5.1,3.98,31.28,4.21,4.15,3.93,31.375999999999998,87.43,1.039895726255322,1.009001711473525,1.1214295686854068,0.009828092809618605,0.03544404619673447,-0.05555555555555569,0.002242870874719749,0.011970236169524417,0.02906545795643134,0.09047433687371398,1.1436781609195403,1.0144578313253012,1.1237788769751076,0.2799999999999998
1965-01-01,59582.0,4.9,3.9,31.28,4.19,4.1,3.81,31.1821,87.559998,1.0547701325381227,1.020724700259358,1.2355762826545338,0.01341996496181519,0.036443021900603556,-0.12499999999999989,0.005141388174807249,0.01098901098901095,0.05430773028039715,0.0910843626438993,1.1206896551724137,1.0047961630695446,1.136552399577461,0.38000000000000034
1964-12-01,59421.0,5.0,3.85,31.25,4.18,4.09,3.84,30.8498,84.75,1.0356432221769925,1.0220591867050133,1.1195106956646148,0.00879411914503514,0.03591290249472645,-0.09090909090909094,0.005469755469755588,0.011981865284974136,0.0286249679073598,0.08895611319569219,1.13905325443787,1.0121065375302662,1.1296987921767045,0.33999999999999986
1964-11-01,59218.0,4.8,3.52,31.21,4.15,4.04,3.64,30.4898,84.41999799999998,1.0415049083353154,1.0207717834408874,1.0840938002838885,0.010218529828212697,0.03428521526504236,-0.1578947368421053,0.005152979066022523,0.013970110461338558,0.02039122504643487,0.07414805655079593,1.0114942528735633,1.0072815533980584,1.1528061524181554,0.5100000000000002
1964-10-01,58793.0,5.1,3.36,31.12,4.19,4.07,3.57,29.5759,84.860001,1.0263469095634636,1.012957395109361,0.9851541286953653,0.006522632335821399,0.026360351238587265,-0.07272727272727275,0.003223726627981982,0.012032520325203189,-0.0037323111022780076,0.0470605311789738,0.96,1.0194647201946472,1.1466017930927768,0.6200000000000006
1964-09-01,58903.0,5.1,3.45,31.08,4.2,4.08,3.53,29.9913,84.18,1.0478296707911205,1.0090599648122585,1.0693432718071987,0.011748741819680886,0.03197379025193592,-0.07272727272727275,0.0022573363431150906,0.01171875,0.016902430423696657,0.06910183653681612,0.9913793103448276,1.0294117647058825,1.1740586265296498,0.6700000000000004
1964-08-01,58619.0,5.0,3.5,31.05,4.19,4.05,3.5,29.8805,81.83000200000002,1.036998243787222,1.009068767904628,1.0655728760936478,0.009123930520408274,0.03002987172728866,-0.07407407407407418,0.002259522272433756,0.009756097560975618,0.01600486912525767,0.07577072210081415,1.002865329512894,1.0475,1.128689682758621,0.6900000000000004
1964-07-01,58412.0,4.9,3.42,31.02,4.19,4.03,3.46,29.6867,83.18,1.0342704316878504,1.0090775881205332,1.0619996051073255,0.008459652636304105,0.028488924886431732,-0.12499999999999989,0.0022617124394184174,0.010752688172043001,0.015152033265398268,0.0709294565393841,1.1324503311258278,1.0422885572139307,1.203240324167814,0.7300000000000004
