,Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index,Non-farm_Payrolls_3_mo_annualised,Non-farm_Payrolls_12_mo_annualised,CPI_All_Items_3_mo_annualised,CPI_All_Items_12_mo_annualised,IPI_3_mo_annualised,IPI_12_mo_annualised
414,1985-08-01,97840.0,7.1,7.9,107.9,10.33,9.81,7.14,56.2555,188.630005,1.0218806657325343,1.0054258467609338,1.0263763522117044,1.0065298507462688,0.9933933973899225,0.9983442415810098
415,1985-07-01,97648.0,7.4,7.88,107.7,10.31,9.7,7.08,56.0234,190.919998,1.0253828814778112,1.0062861971598756,1.0264261370775765,1.0065420560747664,0.982634026319122,0.9956299438592625
416,1985-06-01,97459.0,7.4,7.53,107.5,10.16,9.6,6.95,56.3901,191.850006,1.025729399776083,1.006371202577394,1.026476110224915,1.006554307116105,0.9976555115763142,0.9994133618795105
417,1985-05-01,97312.0,7.2,7.97,107.2,10.85,10.34,7.48,56.3488,189.550003,1.033956661951263,1.008383159072775,1.0342989488968586,1.008466603951082,1.0011721339841633,1.0002929047810936
418,1985-04-01,97038.0,7.3,8.27,107.0,11.43,11.01,7.95,56.2693,179.830002,1.0279307546614436,1.0069107209562944,1.0501108881370067,1.0122989593188267,1.0092589410000126,1.0023067413848998
419,1985-03-01,96842.0,7.2,8.58,106.8,11.86,11.52,8.52,56.4232,180.660004,1.030943622776445,1.0076477259720935,1.0502076373113987,1.0123222748815166,1.0138433957825792,1.0034430264487033
420,1985-02-01,96503.0,7.2,8.5,106.3,11.51,11.13,8.27,56.3323,181.179993,1.0218898307071616,1.00542810110229,1.0385312598374934,1.0094966761633428,1.0118457245851362,1.00294836620275
421,1985-01-01,96372.0,7.3,8.35,105.7,11.38,10.93,7.76,56.1398,179.630005,1.0314425193035595,1.007769609637244,1.0230316858734414,1.005708848715509,1.0139356323255606,1.0034658482569767
422,1984-12-01,96107.0,7.3,8.38,105.5,11.5,11.07,8.06,56.2296,167.240005,1.0323967082768248,1.0080026011075685,1.0309156007672455,1.0076408787010507,1.013732263536205,1.0034155272653296
423,1984-11-01,95982.0,7.2,9.43,105.3,11.57,11.33,8.61,56.1667,163.580002,1.0405901327935339,1.0099966327131913,1.0349312245150795,1.0086206896551724,1.0020750893970367,1.0005183691500883
424,1984-10-01,95629.0,7.4,9.99,105.1,12.16,12.06,9.74,55.9459,166.089996,1.0359211286119592,1.008861787760183,1.0389818144702936,1.0096061479346783,0.990172684484055,0.9975340648524896
425,1984-09-01,95344.0,7.3,11.3,104.7,12.52,12.53,10.37,56.0382,166.100006,1.037127907777279,1.009155473703151,1.0391343497717997,1.0096432015429122,1.0093117881935676,1.00231986191724
426,1984-08-01,95032.0,7.5,11.64,104.4,12.72,12.68,10.47,56.1376,166.679993,1.0402983410691087,1.0099258220153458,1.0352389306784922,1.008695652173913,1.0307536689488705,1.0076013073889734
427,1984-07-01,94789.0,7.5,11.23,104.1,13.36,13.27,10.12,56.0842,150.660004,1.043202404358531,1.0106299044694644,1.0313394537976726,1.0077444336882866,1.046434515248592,1.0114117948329528
428,1984-06-01,94479.0,7.2,11.06,103.7,13.56,13.48,9.87,55.9085,153.179993,1.0457174366889674,1.0112384805574286,1.0314626975629086,1.0077745383867833,1.0595977564944432,1.014577571626634
429,1984-05-01,94098.0,7.4,10.32,103.5,13.41,13.17,9.83,55.7141,150.550003,1.041021249677673,1.0101012269609368,1.0355521056221955,1.0087719298245614,1.0656855724640288,1.0160317315583114
430,1984-04-01,93792.0,7.7,10.29,103.3,12.63,12.37,9.69,55.4514,160.050003,1.0491807127966444,1.0120747143180862,1.0478480697950967,1.011753183153771,1.0637854301209586,1.0155785263219586
431,1984-03-01,93429.0,7.8,9.91,102.9,12.32,12.02,9.52,55.1052,159.179993,1.0530232673945095,1.0130001084245908,1.0604975732702604,1.014792899408284,1.122643376860158,1.0293438038790084
432,1984-02-01,93157.0,7.8,9.59,102.6,11.84,11.54,9.09,54.835,157.059998,1.0569941128667943,1.0139537414965987,1.0606810765507095,1.0148367952522255,1.1241959798645234,1.0296995121438255
433,1984-01-01,92673.0,8.0,9.56,102.1,11.67,11.37,8.9,54.6008,163.410004,1.0513536890727957,1.012598339160839,1.0525938783023685,1.0128968253968254,1.1206459228724621,1.0288856351956643
434,1983-12-01,92230.0,8.3,9.47,101.4,11.83,11.54,9.0,53.5343,164.929993,1.043793181841391,1.0107729569191315,1.0404398283204062,1.0099601593625498,1.0704962026621414,1.0171764173869426
435,1983-11-01,91875.0,8.5,9.34,101.1,11.69,11.41,8.76,53.2534,166.399994,1.0797698541782692,1.0193722331325101,1.0405628397417033,1.00999000999001,1.1131365554788188,1.027157664903733
436,1983-10-01,91520.0,8.8,9.48,100.8,11.54,11.28,8.64,53.0679,163.550003,1.0487680690076386,1.0119751871468536,1.0406866017166116,1.0100200400801602,1.1475259846969432,1.0350006728648244
437,1983-09-01,91247.0,9.2,9.45,100.4,11.65,11.43,9.0,52.6303,166.070007,1.0555991865653114,1.013619044445185,1.040852797130831,1.0100603621730382,1.178885811148717,1.042000518720463
438,1983-08-01,90129.0,9.5,9.56,100.1,11.85,11.63,9.34,51.8454,164.399994,1.0218174200806192,1.0054102895899335,1.036787186792097,1.0090725806451613,1.1369343570492385,1.0326041060858342
439,1983-07-01,90437.0,9.4,9.37,99.8,11.38,11.21,9.08,51.2733,162.559998,1.0489002525060396,1.012007072199096,1.0411046513909687,1.0101214574898785,1.1176213626692,1.0281907053692285
440,1983-06-01,90021.0,10.1,8.98,99.4,10.85,10.63,8.79,50.5089,167.639999,1.0424602316368146,1.0104501066337412,1.054070133644199,1.0132517838939858,1.1048506827701958,1.0252408383977396
441,1983-05-01,89644.0,10.1,8.63,99.2,10.38,10.03,8.19,50.2084,162.389999,1.0331079458911347,1.0081761642880438,1.049886583353007,1.0122448979591836,1.1142402130357825,1.0274121730019972
442,1983-04-01,89364.0,10.2,8.8,98.8,10.4,10.02,8.21,49.8675,164.429993,1.0169171519691602,1.004202719406675,1.0372824048585485,1.0091930541368743,1.057427302998998,1.014057613235671
443,1983-03-01,89090.0,10.3,8.77,98.1,10.51,10.08,8.35,49.2654,152.96000700000005,1.014451729525176,1.003593515900463,1.016477511206896,1.0040941658137155,1.087558011736327,1.0212054126660364
444,1983-02-01,88917.0,10.4,8.51,98.0,10.72,10.26,8.11,48.8688,148.059998,1.0059149060777637,1.0014754578424527,1.0,1.0,1.0229810787389082,1.0056964109318407
445,1983-01-01,88990.0,10.4,8.68,97.9,10.46,10.03,7.86,49.1762,145.300003,1.0037394716073065,1.0009335597871933,0.9918699608534122,0.99796126401631,1.032260167199375,1.0079692707543342
446,1982-12-01,88771.0,10.8,8.95,97.7,10.54,10.22,7.94,48.2424,140.639999,0.9816487985791966,0.9953802854804167,1.0,1.0,0.92243852293099,0.9800186893105269
447,1982-11-01,88786.0,10.8,9.2,98.0,10.55,10.38,8.07,48.592,138.529999,0.9744218235006337,0.9935431890155881,1.0123391857422197,1.0030706243602865,0.937885332316694,0.9840959307212018
448,1982-10-01,88907.0,10.4,9.71,98.1,10.91,10.8,7.71,48.7874,133.720001,0.9728460607993682,0.9931412741144536,1.0248435371646651,1.0061538461538462,0.9200935906824286,0.9793952679779498
449,1982-09-01,89183.0,10.1,10.31,97.7,12.34,12.25,7.92,49.226000000000006,120.419998,0.9699871810701195,0.9924108384799422,1.029179952157298,1.0072164948453608,0.9418215067023942,0.9851268381322896
450,1982-08-01,89363.0,9.8,10.12,97.7,13.06,13.0,8.68,49.3773,119.510002,0.9673794056792754,0.9917431498107805,1.0772185567417623,1.018769551616267,0.9406787434079839,0.984827875064821
451,1982-07-01,89521.0,9.8,12.59,97.5,13.95,14.07,11.35,49.8138,107.089996,0.9723816961623979,0.9930227398779812,1.1094916590572512,1.0263157894736843,0.9495476347576235,0.987140997211802
452,1982-06-01,89865.0,9.6,14.15,97.0,14.3,14.43,12.47,49.9692,109.610001,0.9750690063799491,0.9937081186279496,1.1007457594697045,1.0242872228088702,0.928076014795948,0.9815126182469593
453,1982-05-01,90107.0,9.4,14.45,95.9,13.62,13.75,12.09,50.138000000000005,111.879997,0.9800109320202752,0.9949648311120436,1.0516579583394206,1.0126715945089757,0.9123140924265208,0.9773184462083054
454,1982-04-01,90150.0,9.3,14.94,95.0,13.87,14.0,12.7,50.4627,116.440002,0.9817962261408206,0.9954176558273063,1.0256671447551893,1.0063559322033897,1.0126549607310913,1.0031488361829903
455,1982-03-01,90434.0,9.0,14.68,94.7,13.86,13.98,12.68,50.9104,111.959999,0.9798666723948611,0.9949282138731503,1.0257497559357784,1.0063761955366632,0.9678966237506421,0.991875684332345
456,1982-02-01,90563.0,8.9,14.78,94.7,14.43,14.54,13.48,51.3016,113.110001,0.9735905031035181,0.9933312127759923,1.038935443327463,1.0095948827292112,0.9551136473575323,0.9885844220911859
457,1982-01-01,90565.0,8.6,13.22,94.4,14.59,14.65,12.28,50.3043,120.400002,0.9647992361181985,0.9910811993871744,1.0435192674991134,1.0107066381156318,0.8432415330291234,0.9582702319653909
458,1981-12-01,90895.0,8.5,12.37,94.1,13.72,13.6,10.85,51.3274,122.550003,0.9747928212650638,0.9936377450069417,1.043661756807967,1.0107411385606875,0.8895514629311636,0.9711644346223562
