Year, value
1962,4.06
1962,4.03
1962,3.99
1962,4.02
1962,4.03
1962,4.05
1962,4.07
1962,4.08
1962,4.08
1962,4.1
1962,4.13
1962,4.12
1962,4.11
1962,4.11
1962,4.09
1962,4.11
1962,4.1
1962,4.11
1962,4.11
1962,4.12
1962,4.11
1962,4.1
1962,4.09
1962,4.08
1962,4.07
1962,4.06
1962,4.07
1962,4.07
1962,4.05
1962,4.03
1962,4.03
1962,4.02
1962,4.02
1962,4.01
1962,4.05
1962,4.03
1962,4.02
1962,4
1962,4.01
1962,4
1962,3.98
1962,3.98
1962,4
1962,4.01
1962,4
1962,3.98
1962,3.96
1962,3.94
1962,3.92
1962,3.93
1962,3.96
1962,3.96
1962,3.93
1962,3.91
1962,3.86
1962,3.83
1962,3.87
1962,3.89
1962,3.9
1962,3.9
1962,3.9
1962,3.86
1962,3.86
1962,3.83
1962,3.78
1962,3.84
1962,3.81
1962,3.83
1962,3.83
1962,3.87
1962,3.86
1962,3.85
1962,3.83
1962,3.82
1962,3.81
1962,3.82
1962,3.86
1962,3.87
1962,3.88
1962,3.89
1962,3.86
1962,3.86
1962,3.85
1962,3.86
1962,3.86
1962,3.87
1962,3.86
1962,3.85
1962,3.82
1962,3.83
1962,3.82
1962,3.85
1962,3.87
1962,3.86
1962,3.87
1962,3.93
1962,3.94
1962,3.93
1962,3.91
1962,3.9
1962,3.88
1962,3.87
1962,3.89
1962,3.9
1962,3.89
1962,3.88
1962,3.89
1962,3.89
1962,3.87
1962,3.86
1962,3.87
1962,3.86
1962,3.87
1962,3.9
1962,3.89
1962,3.91
1962,3.93
1962,3.92
1962,3.9
1962,3.9
1962,3.95
1962,3.97
1962,3.96
1962,3.98
1962,4
1962,4
1962,4
1962,4
1962,4.02
1962,4.05
1962,4.02
1962,3.99
1962,4
1962,4
1962,4.01
1962,4.03
1962,4.02
1962,4.02
1962,4.01
1962,4
1962,4.01
1962,4.02
1962,4.01
1962,4.02
1962,4.03
1962,4.04
1962,4.03
1962,4
1962,4.01
1962,4.01
1962,4.02
1962,4.01
1962,3.99
1962,3.99
1962,3.99
1962,3.98
1962,3.98
1962,3.96
1962,3.96
1962,3.94
1962,3.94
1962,3.95
1962,3.95
1962,3.95
1962,3.95
1962,3.96
1962,3.96
1962,3.95
1962,3.96
1962,3.96
1962,3.97
1962,3.99
1962,4.01
1962,4
1962,4
1962,4
1962,3.99
1962,3.99
1962,3.99
1962,3.98
1962,3.99
1962,3.98
1962,3.98
1962,3.97
1962,3.96
1962,3.95
1962,3.95
1962,3.94
1962,3.93
1962,3.92
1962,3.9
1962,3.9
1962,3.92
1962,3.93
1962,3.95
1962,3.93
1962,3.94
1962,3.94
1962,3.94
1962,3.94
1962,3.92
1962,3.88
1962,3.91
1962,3.94
1962,3.94
1962,3.94
1962,3.93
1962,3.92
1962,3.92
1962,3.92
1962,3.92
1962,3.91
1962,3.91
1962,3.91
1962,3.9
1962,3.89
1962,3.9
1962,3.91
1962,3.91
1962,3.93
1962,3.93
1962,3.93
1962,3.92
1962,3.92
1962,3.93
1962,3.92
1962,3.92
1962,3.92
1962,3.92
1962,3.93
1962,3.94
1962,3.93
1962,3.92
1962,3.91
1962,3.9
1962,3.89
1962,3.88
1962,3.88
1962,3.87
1962,3.85
1962,3.83
1962,3.84
1962,3.83
1962,3.81
1962,3.79
1962,3.79
1962,3.81
1962,3.84
1962,3.85
1963,3.82
1963,3.81
1963,3.84
1963,3.83
1963,3.81
1963,3.82
1963,3.81
1963,3.8
1963,3.81
1963,3.8
1963,3.8
1963,3.82
1963,3.84
1963,3.85
1963,3.86
1963,3.86
1963,3.86
1963,3.85
1963,3.86
1963,3.86
1963,3.86
1963,3.87
1963,3.88
1963,3.89
1963,3.9
1963,3.91
1963,3.91
1963,3.91
1963,3.92
1963,3.92
1963,3.91
1963,3.91
1963,3.91
1963,3.93
1963,3.94
1963,3.95
1963,3.95
1963,3.95
1963,3.95
1963,3.94
1963,3.93
1963,3.92
1963,3.92
1963,3.91
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.92
1963,3.93
1963,3.94
1963,3.96
1963,3.96
1963,3.96
1963,3.95
1963,3.95
1963,3.96
1963,3.96
1963,3.95
1963,3.95
1963,3.97
1963,3.98
1963,4
1963,4
1963,4.01
1963,4
1963,4
1963,3.99
1963,3.97
1963,3.97
1963,3.97
1963,3.96
1963,3.95
1963,3.95
1963,3.95
1963,3.95
1963,3.94
1963,3.94
1963,3.93
1963,3.92
1963,3.91
1963,3.92
1963,3.93
1963,3.93
1963,3.92
1963,3.91
1963,3.91
1963,3.9
1963,3.92
1963,3.93
1963,3.92
1963,3.92
1963,3.93
1963,3.95
1963,3.95
1963,3.96
1963,3.96
1963,3.96
1963,3.98
1963,3.98
1963,3.98
1963,3.99
1963,3.99
1963,3.99
1963,3.98
1963,3.99
1963,3.99
1963,3.99
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4.01
1963,4.03
1963,4.03
1963,4.04
1963,4.05
1963,4.04
1963,4.03
1963,4.04
1963,4.03
1963,4.02
1963,4.02
1963,4.03
1963,4.02
1963,4.02
1963,4.02
1963,4.02
1963,4.01
1963,4.01
1963,3.99
1963,3.99
1963,4
1963,4
1963,3.99
1963,3.99
1963,3.99
1963,4
1963,4.01
1963,4
1963,4
1963,4.01
1963,4.02
1963,4.02
1963,4.01
1963,4
1963,3.99
1963,3.99
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4
1963,4.01
1963,4.02
1963,4.03
1963,4.04
1963,4.08
1963,4.09
1963,4.09
1963,4.09
1963,4.09
1963,4.09
1963,4.09
1963,4.09
1963,4.09
1963,4.08
1963,4.08
1963,4.07
1963,4.07
1963,4.08
1963,4.08
1963,4.08
1963,4.07
1963,4.07
1963,4.07
1963,4.07
1963,4.07
1963,4.08
1963,4.08
1963,4.09
1963,4.1
1963,4.1
1963,4.1
1963,4.1
1963,4.11
1963,4.11
1963,4.12
1963,4.12
1963,4.12
1963,4.11
1963,4.12
1963,4.11
1963,4.12
1963,4.12
1963,4.13
1963,4.14
1963,4.15
1963,4.15
1963,4.15
1963,4.17
1963,4.17
1963,4.16
1963,4.16
1963,4.15
1963,4.12
1963,4.11
1963,4.11
1963,4.1
1963,4.09
1963,4.1
1963,4.09
1963,4.08
1963,4.08
1963,4.08
1963,4.09
1963,4.1
1963,4.1
1963,4.11
1963,4.11
1963,4.1
1963,4.1
1963,4.12
1963,4.12
1963,4.13
1963,4.15
1963,4.15
1963,4.15
1963,4.14
1963,4.15
1963,4.15
1963,4.15
1963,4.15
1963,4.15
1963,4.14
1963,4.14
1964,4.14
1964,4.15
1964,4.16
1964,4.15
1964,4.18
1964,4.18
1964,4.18
1964,4.18
1964,4.18
1964,4.18
1964,4.17
1964,4.17
1964,4.16
1964,4.16
1964,4.16
1964,4.16
1964,4.18
1964,4.18
1964,4.17
1964,4.17
1964,4.16
1964,4.15
1964,4.15
1964,4.15
1964,4.15
1964,4.14
1964,4.14
1964,4.14
1964,4.14
1964,4.13
1964,4.13
1964,4.13
1964,4.14
1964,4.14
1964,4.14
1964,4.15
1964,4.15
1964,4.15
1964,4.17
1964,4.18
1964,4.17
1964,4.18
1964,4.19
1964,4.19
1964,4.19
1964,4.2
1964,4.2
1964,4.21
1964,4.21
1964,4.22
1964,4.21
1964,4.22
1964,4.23
1964,4.24
1964,4.25
1964,4.25
1964,4.26
1964,4.26
1964,4.25
1964,4.25
1964,4.23
1964,4.23
1964,4.24
1964,4.25
1964,4.25
1964,4.25
1964,4.22
1964,4.22
1964,4.22
1964,4.23
1964,4.24
1964,4.23
1964,4.23
1964,4.24
1964,4.24
1964,4.23
1964,4.23
1964,4.23
1964,4.23
1964,4.23
1964,4.23
1964,4.22
1964,4.22
1964,4.22
1964,4.22
1964,4.22
1964,4.22
1964,4.22
1964,4.2
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.2
1964,4.2
1964,4.2
1964,4.19
1964,4.19
1964,4.2
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.19
1964,4.18
1964,4.18
1964,4.17
1964,4.17
1964,4.18
1964,4.18
1964,4.18
1964,4.18
1964,4.18
1964,4.17
1964,4.16
1964,4.15
1964,4.15
1964,4.15
1964,4.15
1964,4.15
1964,4.15
1964,4.15
1964,4.15
